                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.4423,                0.58296,                 1.0201,                0.92169,                0.87946,                0.93161,                0.44737,                 1.7209,                0.68178,                0.87874,               0.003268,               0.003268,               0.003268
                     70,                 1.4391,                0.58595,                 1.0169,                0.92145,                0.88127,                0.93625,                0.46064,                 1.6751,                0.67521,                0.87259,               0.003169,               0.003169,               0.003169
                     71,                 1.4403,                0.58332,                 1.0167,                0.92467,                 0.8795,                0.93518,                0.45645,                 1.6975,                0.67505,                0.87502,                0.00307,                0.00307,                0.00307
                     72,                 1.4392,                0.58251,                 1.0133,                0.92617,                0.87935,                0.93335,                0.45051,                 1.7095,                0.67818,                0.87718,               0.002971,               0.002971,               0.002971
                     73,                 1.4301,                0.57866,                 1.0158,                0.92605,                0.87779,                0.93178,                0.44652,                 1.7257,                0.68094,                0.87849,               0.002872,               0.002872,               0.002872
                     74,                 1.4284,                0.57702,                  1.018,                0.92476,                0.87715,                0.93327,                0.45298,                 1.6886,                 0.6753,                0.87305,               0.002773,               0.002773,               0.002773
                     75,                 1.4277,                0.57771,                 1.0167,                0.92579,                0.88242,                0.93446,                0.45485,                 1.7008,                0.67655,                0.87521,               0.002674,               0.002674,               0.002674
                     76,                 1.4347,                0.57814,                 1.0073,                0.92781,                0.88085,                0.93536,                0.45276,                 1.7157,                 0.6765,                0.87823,               0.002575,               0.002575,               0.002575
                     77,                 1.4284,                0.57502,                 1.0179,                0.92872,                0.88185,                 0.9353,                0.45276,                 1.7115,                0.67578,                0.87793,               0.002476,               0.002476,               0.002476
                     78,                 1.4209,                 0.5722,                 1.0111,                 0.9254,                0.88206,                0.93703,                0.45905,                 1.6868,                0.66942,                0.87414,               0.002377,               0.002377,               0.002377
                     79,                 1.4174,                0.57354,                 1.0113,                0.92651,                0.88202,                0.93618,                0.45524,                  1.691,                0.67244,                0.87366,               0.002278,               0.002278,               0.002278
                     80,                 1.4153,                0.56904,                 1.0103,                0.92673,                0.88334,                0.93604,                0.45639,                 1.6921,                0.67217,                0.87433,               0.002179,               0.002179,               0.002179
                     81,                 1.4185,                0.57022,                 1.0047,                0.92765,                0.88241,                0.93702,                0.45791,                 1.6903,                0.67244,                0.87456,                0.00208,                0.00208,                0.00208
                     82,                 1.4071,                0.56608,                 1.0072,                0.92786,                0.88057,                0.93587,                0.45468,                 1.7076,                0.67459,                0.87687,               0.001981,               0.001981,               0.001981
                     83,                 1.4113,                0.56699,                 1.0041,                 0.9306,                0.88281,                0.93644,                0.45988,                 1.6851,                0.67106,                0.87426,               0.001882,               0.001882,               0.001882
                     84,                 1.4123,                0.56813,                 1.0037,                0.92636,                0.88542,                0.93722,                0.45966,                  1.679,                  0.667,                0.87281,               0.001783,               0.001783,               0.001783
                     85,                 1.4082,                0.56421,                 1.0044,                0.92599,                0.88312,                0.93687,                0.45789,                 1.6943,                0.67128,                0.87535,               0.001684,               0.001684,               0.001684
                     86,                 1.3981,                0.56082,                 1.0044,                0.92932,                0.88519,                0.93741,                0.45968,                 1.6848,                0.66825,                0.87376,               0.001585,               0.001585,               0.001585
                     87,                 1.4018,                0.56276,                 1.0023,                0.92309,                0.88625,                0.93749,                0.45805,                 1.6916,                0.67003,                0.87424,               0.001486,               0.001486,               0.001486
                     88,                 1.4055,                0.56129,                 1.0007,                0.92577,                0.88632,                0.93931,                0.46028,                 1.6836,                0.66491,                0.87296,               0.001387,               0.001387,               0.001387
                     89,                  1.394,                0.55797,                0.99878,                0.92944,                0.88447,                0.93807,                0.45863,                 1.6911,                0.66633,                0.87364,               0.001288,               0.001288,               0.001288
                     90,                 1.3974,                0.56001,                 1.0013,                 0.9311,                0.88298,                 0.9373,                0.45979,                 1.6917,                0.66954,                0.87426,               0.001189,               0.001189,               0.001189
                     91,                 1.4189,                0.55461,                 1.0162,                0.92536,                0.88554,                0.93695,                 0.4598,                  1.698,                0.67445,                0.87656,                0.00109,                0.00109,                0.00109
                     92,                 1.4048,                0.54695,                 1.0134,                0.92793,                0.88234,                0.93539,                 0.4596,                 1.6948,                0.67279,                0.87643,               0.000991,               0.000991,               0.000991
                     93,                 1.3983,                0.54211,                 1.0137,                0.92843,                0.88161,                0.93603,                0.45969,                 1.6953,                0.67072,                0.87588,               0.000892,               0.000892,               0.000892
                     94,                 1.3929,                0.53963,                 1.0122,                0.92939,                0.88298,                0.93766,                0.46215,                 1.6894,                0.66863,                0.87471,               0.000793,               0.000793,               0.000793
                     95,                 1.3958,                0.53964,                 1.0107,                0.92777,                0.88483,                0.93803,                0.46283,                 1.6856,                0.66739,                0.87396,               0.000694,               0.000694,               0.000694
                     96,                  1.388,                0.53677,                 1.0061,                0.92511,                0.88383,                0.93743,                0.46299,                   1.69,                0.66964,                0.87477,               0.000595,               0.000595,               0.000595
                     97,                  1.387,                 0.5355,                 1.0088,                 0.9253,                0.88383,                0.93601,                0.45725,                 1.7049,                0.67013,                0.87673,               0.000496,               0.000496,               0.000496
                     98,                 1.3806,                0.53245,                 1.0065,                 0.9269,                0.88241,                 0.9358,                0.45727,                  1.709,                0.67139,                0.87762,               0.000397,               0.000397,               0.000397
                     99,                 1.3804,                0.53293,                 1.0063,                0.92799,                0.88326,                0.93757,                0.46212,                 1.6937,                0.66851,                0.87544,               0.000298,               0.000298,               0.000298
                    100,                 1.3753,                0.53134,                 1.0031,                0.92412,                0.88725,                0.93698,                0.46215,                 1.6904,                0.66686,                0.87485,               0.000199,               0.000199,               0.000199
